Url,Size,YardSize,Floor,TotalFloors,District,Year,Type,BuildingType,Price
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a153375172457080&slink=7lxxji&f1=1,32,0,1,5,"град София, Бъкстон",2021,1-СТАЕН,Тухла,45900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164132832072057&slink=7lxxji&f1=1,32,0,0,0,"град София, Витоша",0,1-СТАЕН,Тухла,38000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163672928050456&slink=7lxxji&f1=1,32,0,1,14,"град София, Люлин 5",1986,1-СТАЕН,ЕПК,44500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163620345860096&slink=7lxxji&f1=1,32,0,2,14,"град София, Люлин 5",1986,1-СТАЕН,ЕПК,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163819316895693&slink=7lxxji&f1=1,32,0,3,4,"град София, Малинова долина",2022,1-СТАЕН,Тухла,46500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164079118557817&slink=7lxxji&f1=1,32,0,1,2,"град София, Оборище",1930,1-СТАЕН,Тухла,155000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163948976819359&slink=7lxxji&f1=1,32,0,2,6,"град София, Студентски град",2018,1-СТАЕН,Тухла,70000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164267766650287&slink=7lxxjs&f1=1,33,0,0,0,"град София, Модерно предградие",0,1-СТАЕН,Панел,36900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164251805268606&slink=7lxxjs&f1=1,33,0,2,7,"град София, Бъкстон",1988,1-СТАЕН,Панел,75500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a156993810675431&slink=7lxxjs&f1=1,33,0,1,8,"град София, Люлин 6",1980,1-СТАЕН,Панел,35999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164016533854422&slink=7lxxjs&f1=1,33,0,1,4,"град София, Малинова долина",2023,1-СТАЕН,Тухла,41299
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164199610376474&slink=7lxxjs&f1=1,33,0,3,6,"град София, Малинова долина",2021,1-СТАЕН,Тухла,42900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164311403334970&slink=7lxxjs&f1=1,33,0,1,8,"град София, Модерно предградие",1982,1-СТАЕН,Панел,37000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163895931720742&slink=7lxxjs&f1=1,33,0,1,8,"град София, Модерно предградие",1992,1-СТАЕН,Панел,37900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164251763102838&slink=7lxxjs&f1=1,33,0,2,7,"град София, Павлово",1988,1-СТАЕН,Панел,75500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163476779922298&slink=7lxxjs&f1=1,33,0,1,3,"град София, Център",0,1-СТАЕН,Тухла,70000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b162504143437280&slink=7lxxjs&f1=1,33,0,1,8,"град София, Люлин 6",1985,2-СТАЕН,Панел,38860
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163603638777583&slink=7lxxjs&f1=1,33,0,1,3,"град София, Оборище",0,2-СТАЕН,Тухла,155000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1h161562397016161&slink=7lxxjs&f1=1,33,0,6,6,"град София, Студентски град",2015,"АТЕЛИЕ, ТАВАН",Тухла,60000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163524519789277&slink=7lxxkc&f1=1,34,0,1,6,"град София, Студентски град",0,1-СТАЕН,Тухла,56500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164172618117819&slink=7lxxkc&f1=1,34,0,5,5,"град София, Дружба 1",2023,1-СТАЕН,Тухла,40000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163716673101299&slink=7lxxkc&f1=1,34,0,1,6,"град София, Дървеница",2008,1-СТАЕН,Тухла,55000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163004549485318&slink=7lxxkc&f1=1,34,0,1,6,"град София, Малинова долина",2023,1-СТАЕН,Тухла,35999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162885203493239&slink=7lxxkc&f1=1,34,0,1,6,"град София, Студентски град",2022,1-СТАЕН,Тухла,43600
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164266728506261&slink=7lxxkc&f1=1,34,0,1,7,"град София, Студентски град",2017,1-СТАЕН,Тухла,82000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1b163490001037251&slink=7lxxkl&f1=1,35,0,8,8,"град София, Гео Милев",1986,2-СТАЕН,Тухла,116000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164302426574147&slink=7lxxkl&f1=1,35,0,12,13,"град София, Люлин 7",1987,1-СТАЕН,ЕПК,49500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a161830760034222&slink=7lxxkl&f1=1,35,0,1,14,"град София, Мусагеница",1985,1-СТАЕН,ЕПК,61000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163533270603662&slink=7lxxkl&f1=1,35,0,2,8,"град София, Студентски град",2024,1-СТАЕН,Тухла,50480
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a149321007465726&slink=7lxxkl&f1=1,35,0,1,5,"град София, Витоша",2021,1-СТАЕН,Тухла,41900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164183119371917&slink=7lxxkl&f1=1,35,0,2,9,"град София, Дружба 2",2010,1-СТАЕН,Тухла,64900
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163266443089505&slink=7lxxkl&f1=1,35,0,0,0,"град София, Дървеница",2008,1-СТАЕН,Тухла,50999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164175125316539&slink=7lxxkl&f1=1,35,0,6,8,"град София, Дървеница",1983,1-СТАЕН,Панел,56000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164319867824180&slink=7lxxkl&f1=1,35,0,6,6,"град София, Дървеница",2023,1-СТАЕН,Тухла,58905
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164301188305849&slink=7lxxkl&f1=1,35,0,6,6,"град София, Дървеница",2023,1-СТАЕН,Тухла,58905
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164267693546739&slink=7lxxkl&f1=1,35,0,12,13,"град София, Люлин 10",0,1-СТАЕН,ЕПК,51000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163879640293561&slink=7lxxkl&f1=1,35,0,2,14,"град София, Люлин 5",0,1-СТАЕН,ЕПК,44999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163731945719611&slink=7lxxkl&f1=1,35,0,2,14,"град София, Люлин 5",1980,1-СТАЕН,ЕПК,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164268792826650&slink=7lxxkl&f1=1,35,0,7,9,"град София, Люлин 5",1978,1-СТАЕН,Панел,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a162462863571504&slink=7lxxkl&f1=1,35,0,2,14,"град София, Люлин 5",0,1-СТАЕН,ЕПК,45000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164328449104019&slink=7lxxkl&f1=1,35,0,2,14,"град София, Люлин 5",0,1-СТАЕН,ЕПК,46500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164180101694537&slink=7lxxkl&f1=1,35,0,1,14,"град София, Люлин 5",1983,1-СТАЕН,ЕПК,47000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a160804416246261&slink=7lxxkl&f1=1,35,0,5,14,"град София, Люлин 5",1986,1-СТАЕН,ЕПК,50990
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164294448333108&slink=7lxxkl&f1=1,35,0,12,13,"град София, Люлин 7",1988,1-СТАЕН,ЕПК,48999
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164278999085220&slink=7lxxkl&f1=1,35,0,12,14,"град София, Люлин 7",0,1-СТАЕН,ЕПК,49499
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164268639237840&slink=7lxxkl&f1=1,35,0,12,14,"град София, Люлин 7",1987,1-СТАЕН,ЕПК,49500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164261187361703&slink=7lxxkl&f1=1,35,0,12,13,"град София, Люлин 7",0,1-СТАЕН,ЕПК,49500
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164275122385891&slink=7lxxkl&f1=1,35,0,1,3,"град София, Оборище",0,1-СТАЕН,Тухла,155000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164208127934330&slink=7lxxkl&f1=1,35,0,2,9,"град София, Студентски град",2022,1-СТАЕН,Тухла,63240
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a164181675041868&slink=7lxxkl&f1=1,35,0,9,9,"град София, Хаджи Димитър",2010,1-СТАЕН,Тухла,64000
https://www.imot.bg/pcgi/imot.cgi?act=5&adv=1a163923160303939&slink=7lxxkl&f1=1,35,0,0,0,"град София, Хиподрума",1985,1-СТАЕН,Тухла,38999
